Região,Código da Região,Unidade da Federação,Sigla da Unidade da Federação,Código da Unidade da Federação,Município,Código do Múnicipio,Está em Uma Capital,pk_localização_geográfica
Sudeste,3,S o Paulo,SP,35,Lins,3527108,Não está na capital,1023
Sudeste,3,S o Paulo,SP,35,Rio Claro,3543907,Não está na capital,1024
Sudeste,3,Esp rito Santo,ES,32,Santa Maria de Jetib ,3204559,Não está na capital,1025
Sudeste,3,S o Paulo,SP,35,Ibitinga,3519600,Não está na capital,1026
Sul,4,Paran ,PR,41,Arauc ria,4101804,Não está na capital,1027
Sudeste,3,S o Paulo,SP,35,Praia Grande,3541000,Não está na capital,1028
Sul,4,Paran ,PR,41,Corn lio Proc pio,4106407,Não está na capital,1029
Sul,4,Paran ,PR,41,Colombo,4105805,Não está na capital,1030
Norte,1,Rond nia,RO,11,Cacoal,1100049,Não está na capital,1031
Nordeste,2,Maranh o,MA,21,Pa o do Lumiar,2107506,Não está na capital,1032
Sudeste,3,S o Paulo,SP,35,Paul nia,3536505,Não está na capital,1033
Centro-Oeste,5,Mato Grosso,MT,51,Barra do Gar as,5101803,Não está na capital,1034
Nordeste,2,Maranh o,MA,21,Caxias,2103000,Não está na capital,1035
Sudeste,3,Minas Gerais,MG,31,Manhua u,3139409,Não está na capital,1036
Sul,4,Santa Catarina,SC,42,Balne rio Cambori ,4202008,Não está na capital,1037
Sudeste,3,Minas Gerais,MG,31,Virgin polis,3171808,Não está na capital,1038
Norte,1,Rond nia,RO,11,Rolim de Moura,1100288,Não está na capital,1039
Sul,4,Paran ,PR,41,Jaguaria va,4112009,Não está na capital,1040
Nordeste,2,Cear ,CE,23,Ic ,2305407,Não está na capital,1041
Nordeste,2,Bahia,BA,29,Santo Ant nio de Jesus,2928703,Não está na capital,1042
Norte,1,Par ,PA,15,Itaituba,1503606,Não está na capital,1043
Sul,4,Paran ,PR,41,Palotina,4117909,Não está na capital,1044
Sudeste,3,Minas Gerais,MG,31,S o Sebasti o do Para so,3164704,Não está na capital,1045
Nordeste,2,Cear ,CE,23,Quixad ,2311306,Não está na capital,1046
Nordeste,2,Alagoas,AL,27,Palmeira dos  ndios,2706307,Não está na capital,1047
Nordeste,2,Bahia,BA,29,Ipir ,2914000,Não está na capital,1048
Sul,4,Rio Grande do Sul,RS,43,Gravata ,4309209,Não está na capital,1049
Sul,4,Paran ,PR,41,Guaratuba,4109609,Não está na capital,1050
Sudeste,3,Esp rito Santo,ES,32,Guarapari,3202405,Não está na capital,1051
Centro-Oeste,5,Goi s,GO,52,Formosa,5208004,Não está na capital,1052
Centro-Oeste,5,Goi s,GO,52,S o Lu s de Montes Belos,5220108,Não está na capital,1053
Norte,1,Par ,PA,15,Ananindeua,1500800,Não está na capital,1054
