pk_tempo,pk_localização_geográfica,PIB da Unidade da Federação,População da Unidade da Federação
1,716,197853,9557071
1,723,197853,9557071
1,758,197853,9557071
1,873,197853,9557071
1,910,197853,9557071
1,1004,197853,9557071
1,1010,197853,9557071
1,1214,197853,9557071
1,1238,197853,9557071
1,1262,197853,9557071
1,1269,197853,9557071
1,28,58964,3337357
1,434,58964,3337357
1,478,58964,3337357
1,496,58964,3337357
1,678,58964,3337357
1,769,58964,3337357
1,786,58964,3337357
1,1047,58964,3337357
1,1071,58964,3337357
1,3,44689,2298696
1,105,44689,2298696
1,510,44689,2298696
1,617,44689,2298696
1,685,44689,2298696
1,736,44689,2298696
1,753,44689,2298696
1,772,44689,2298696
1,1210,44689,2298696
1,1230,44689,2298696
1,23,293241,14873064
1,34,293241,14873064
1,165,293241,14873064
1,171,293241,14873064
1,244,293241,14873064
1,254,293241,14873064
1,312,293241,14873064
1,333,293241,14873064
1,335,293241,14873064
1,353,293241,14873064
1,354,293241,14873064
1,355,293241,14873064
1,387,293241,14873064
1,421,293241,14873064
1,424,293241,14873064
1,433,293241,14873064
1,435,293241,14873064
1,441,293241,14873064
1,459,293241,14873064
1,467,293241,14873064
1,468,293241,14873064
1,470,293241,14873064
1,476,293241,14873064
1,481,293241,14873064
1,508,293241,14873064
1,522,293241,14873064
1,553,293241,14873064
1,558,293241,14873064
1,583,293241,14873064
1,590,293241,14873064
1,591,293241,14873064
1,603,293241,14873064
1,622,293241,14873064
1,629,293241,14873064
1,634,293241,14873064
1,651,293241,14873064
1,659,293241,14873064
1,662,293241,14873064
1,669,293241,14873064
1,672,293241,14873064
1,673,293241,14873064
1,682,293241,14873064
1,683,293241,14873064
1,688,293241,14873064
1,740,293241,14873064
1,752,293241,14873064
1,783,293241,14873064
1,874,293241,14873064
1,925,293241,14873064
1,1001,293241,14873064
1,1042,293241,14873064
1,1048,293241,14873064
1,1064,293241,14873064
1,1070,293241,14873064
1,1088,293241,14873064
1,1127,293241,14873064
1,1145,293241,14873064
1,1167,293241,14873064
1,1171,293241,14873064
1,1200,293241,14873064
1,1247,293241,14873064
1,1270,293241,14873064
1,1274,293241,14873064
1,6,651873,21168791
1,8,651873,21168791
1,16,651873,21168791
1,25,651873,21168791
1,27,651873,21168791
1,57,651873,21168791
1,58,651873,21168791
1,62,651873,21168791
1,67,651873,21168791
1,69,651873,21168791
1,74,651873,21168791
1,75,651873,21168791
1,88,651873,21168791
1,89,651873,21168791
1,94,651873,21168791
1,95,651873,21168791
1,98,651873,21168791
1,102,651873,21168791
1,110,651873,21168791
1,133,651873,21168791
1,140,651873,21168791
1,144,651873,21168791
1,147,651873,21168791
1,148,651873,21168791
1,153,651873,21168791
1,157,651873,21168791
1,168,651873,21168791
1,181,651873,21168791
1,182,651873,21168791
1,191,651873,21168791
1,205,651873,21168791
1,209,651873,21168791
1,217,651873,21168791
1,226,651873,21168791
1,229,651873,21168791
1,231,651873,21168791
1,237,651873,21168791
1,246,651873,21168791
1,255,651873,21168791
1,270,651873,21168791
1,285,651873,21168791
1,292,651873,21168791
1,311,651873,21168791
1,314,651873,21168791
1,330,651873,21168791
1,334,651873,21168791
1,337,651873,21168791
1,339,651873,21168791
1,341,651873,21168791
1,358,651873,21168791
1,360,651873,21168791
1,361,651873,21168791
1,362,651873,21168791
1,385,651873,21168791
1,396,651873,21168791
1,400,651873,21168791
1,408,651873,21168791
1,411,651873,21168791
1,417,651873,21168791
1,419,651873,21168791
1,430,651873,21168791
1,438,651873,21168791
1,446,651873,21168791
1,454,651873,21168791
1,455,651873,21168791
1,456,651873,21168791
1,460,651873,21168791
1,477,651873,21168791
1,479,651873,21168791
1,482,651873,21168791
1,492,651873,21168791
1,493,651873,21168791
1,515,651873,21168791
1,517,651873,21168791
1,525,651873,21168791
1,529,651873,21168791
1,530,651873,21168791
1,534,651873,21168791
1,535,651873,21168791
1,545,651873,21168791
1,548,651873,21168791
1,557,651873,21168791
1,562,651873,21168791
1,563,651873,21168791
1,577,651873,21168791
1,581,651873,21168791
1,582,651873,21168791
1,587,651873,21168791
1,607,651873,21168791
1,608,651873,21168791
1,609,651873,21168791
1,610,651873,21168791
1,611,651873,21168791
1,612,651873,21168791
1,613,651873,21168791
1,614,651873,21168791
1,615,651873,21168791
1,626,651873,21168791
1,627,651873,21168791
1,666,651873,21168791
1,671,651873,21168791
1,689,651873,21168791
1,690,651873,21168791
1,693,651873,21168791
1,706,651873,21168791
1,708,651873,21168791
1,711,651873,21168791
1,732,651873,21168791
1,738,651873,21168791
1,749,651873,21168791
1,775,651873,21168791
1,780,651873,21168791
1,784,651873,21168791
1,807,651873,21168791
1,811,651873,21168791
1,826,651873,21168791
1,837,651873,21168791
1,859,651873,21168791
1,864,651873,21168791
1,885,651873,21168791
1,894,651873,21168791
1,907,651873,21168791
1,909,651873,21168791
1,920,651873,21168791
1,926,651873,21168791
1,955,651873,21168791
1,969,651873,21168791
1,985,651873,21168791
1,989,651873,21168791
1,1036,651873,21168791
1,1038,651873,21168791
1,1045,651873,21168791
1,1056,651873,21168791
1,1057,651873,21168791
1,1075,651873,21168791
1,1086,651873,21168791
1,1097,651873,21168791
1,1107,651873,21168791
1,1131,651873,21168791
1,1132,651873,21168791
1,1144,651873,21168791
1,1159,651873,21168791
1,1160,651873,21168791
1,1161,651873,21168791
1,1162,651873,21168791
1,1199,651873,21168791
1,1203,651873,21168791
1,1215,651873,21168791
1,1224,651873,21168791
1,1239,651873,21168791
1,47,137346,4018650
1,84,137346,4018650
1,150,137346,4018650
1,163,137346,4018650
1,185,137346,4018650
1,204,137346,4018650
1,216,137346,4018650
1,252,137346,4018650
1,265,137346,4018650
1,266,137346,4018650
1,267,137346,4018650
1,291,137346,4018650
1,321,137346,4018650
1,331,137346,4018650
1,357,137346,4018650
1,398,137346,4018650
1,444,137346,4018650
1,464,137346,4018650
1,497,137346,4018650
1,505,137346,4018650
1,580,137346,4018650
1,621,137346,4018650
1,801,137346,4018650
1,822,137346,4018650
1,862,137346,4018650
1,871,137346,4018650
1,880,137346,4018650
1,890,137346,4018650
1,924,137346,4018650
1,935,137346,4018650
1,936,137346,4018650
1,937,137346,4018650
1,954,137346,4018650
1,975,137346,4018650
1,986,137346,4018650
1,1002,137346,4018650
1,1025,137346,4018650
1,1051,137346,4018650
1,1061,137346,4018650
1,1143,137346,4018650
1,1166,137346,4018650
1,15,779928,17264943
1,24,779928,17264943
1,53,779928,17264943
1,68,779928,17264943
1,97,779928,17264943
1,121,779928,17264943
1,122,779928,17264943
1,123,779928,17264943
1,126,779928,17264943
1,127,779928,17264943
1,132,779928,17264943
1,134,779928,17264943
1,135,779928,17264943
1,146,779928,17264943
1,162,779928,17264943
1,220,779928,17264943
1,251,779928,17264943
1,449,779928,17264943
1,469,779928,17264943
1,473,779928,17264943
1,572,779928,17264943
1,573,779928,17264943
1,574,779928,17264943
1,599,779928,17264943
1,654,779928,17264943
1,697,779928,17264943
1,724,779928,17264943
1,728,779928,17264943
1,731,779928,17264943
1,733,779928,17264943
1,764,779928,17264943
1,779,779928,17264943
1,830,779928,17264943
1,843,779928,17264943
1,846,779928,17264943
1,851,779928,17264943
1,860,779928,17264943
1,870,779928,17264943
1,923,779928,17264943
1,1006,779928,17264943
1,1067,779928,17264943
1,1139,779928,17264943
1,1153,779928,17264943
1,1253,779928,17264943
1,1260,779928,17264943
1,1267,779928,17264943
1,7,2348338,45919049
1,18,2348338,45919049
1,21,2348338,45919049
1,29,2348338,45919049
1,30,2348338,45919049
1,31,2348338,45919049
1,32,2348338,45919049
1,38,2348338,45919049
1,39,2348338,45919049
1,40,2348338,45919049
1,41,2348338,45919049
1,45,2348338,45919049
1,48,2348338,45919049
1,55,2348338,45919049
1,59,2348338,45919049
1,60,2348338,45919049
1,61,2348338,45919049
1,63,2348338,45919049
1,64,2348338,45919049
1,65,2348338,45919049
1,66,2348338,45919049
1,71,2348338,45919049
1,73,2348338,45919049
1,76,2348338,45919049
1,77,2348338,45919049
1,78,2348338,45919049
1,79,2348338,45919049
1,80,2348338,45919049
1,81,2348338,45919049
1,82,2348338,45919049
1,83,2348338,45919049
1,85,2348338,45919049
1,86,2348338,45919049
1,87,2348338,45919049
1,96,2348338,45919049
1,100,2348338,45919049
1,101,2348338,45919049
1,106,2348338,45919049
1,112,2348338,45919049
1,113,2348338,45919049
1,124,2348338,45919049
1,128,2348338,45919049
1,129,2348338,45919049
1,131,2348338,45919049
1,136,2348338,45919049
1,138,2348338,45919049
1,151,2348338,45919049
1,154,2348338,45919049
1,160,2348338,45919049
1,164,2348338,45919049
1,177,2348338,45919049
1,180,2348338,45919049
1,184,2348338,45919049
1,186,2348338,45919049
1,188,2348338,45919049
1,195,2348338,45919049
1,211,2348338,45919049
1,213,2348338,45919049
1,214,2348338,45919049
1,218,2348338,45919049
1,219,2348338,45919049
1,221,2348338,45919049
1,224,2348338,45919049
1,225,2348338,45919049
1,227,2348338,45919049
1,235,2348338,45919049
1,241,2348338,45919049
1,242,2348338,45919049
1,243,2348338,45919049
1,248,2348338,45919049
1,249,2348338,45919049
1,256,2348338,45919049
1,259,2348338,45919049
1,260,2348338,45919049
1,261,2348338,45919049
1,262,2348338,45919049
1,271,2348338,45919049
1,273,2348338,45919049
1,274,2348338,45919049
1,275,2348338,45919049
1,276,2348338,45919049
1,278,2348338,45919049
1,279,2348338,45919049
1,280,2348338,45919049
1,281,2348338,45919049
1,283,2348338,45919049
1,284,2348338,45919049
1,286,2348338,45919049
1,290,2348338,45919049
1,293,2348338,45919049
1,302,2348338,45919049
1,305,2348338,45919049
1,306,2348338,45919049
1,307,2348338,45919049
1,308,2348338,45919049
1,313,2348338,45919049
1,315,2348338,45919049
1,317,2348338,45919049
1,318,2348338,45919049
1,319,2348338,45919049
1,325,2348338,45919049
1,329,2348338,45919049
1,332,2348338,45919049
1,340,2348338,45919049
1,350,2348338,45919049
1,351,2348338,45919049
1,352,2348338,45919049
1,365,2348338,45919049
1,366,2348338,45919049
1,367,2348338,45919049
1,373,2348338,45919049
1,375,2348338,45919049
1,382,2348338,45919049
1,391,2348338,45919049
1,393,2348338,45919049
1,397,2348338,45919049
1,401,2348338,45919049
1,404,2348338,45919049
1,413,2348338,45919049
1,440,2348338,45919049
1,443,2348338,45919049
1,448,2348338,45919049
1,471,2348338,45919049
1,485,2348338,45919049
1,489,2348338,45919049
1,503,2348338,45919049
1,514,2348338,45919049
1,519,2348338,45919049
1,536,2348338,45919049
1,537,2348338,45919049
1,538,2348338,45919049
1,542,2348338,45919049
1,543,2348338,45919049
1,547,2348338,45919049
1,560,2348338,45919049
1,564,2348338,45919049
1,565,2348338,45919049
1,570,2348338,45919049
1,571,2348338,45919049
1,579,2348338,45919049
1,586,2348338,45919049
1,588,2348338,45919049
1,598,2348338,45919049
1,604,2348338,45919049
1,618,2348338,45919049
1,620,2348338,45919049
1,630,2348338,45919049
1,631,2348338,45919049
1,653,2348338,45919049
1,655,2348338,45919049
1,657,2348338,45919049
1,661,2348338,45919049
1,670,2348338,45919049
1,680,2348338,45919049
1,686,2348338,45919049
1,696,2348338,45919049
1,701,2348338,45919049
1,727,2348338,45919049
1,729,2348338,45919049
1,730,2348338,45919049
1,745,2348338,45919049
1,757,2348338,45919049
1,774,2348338,45919049
1,781,2348338,45919049
1,782,2348338,45919049
1,787,2348338,45919049
1,788,2348338,45919049
1,789,2348338,45919049
1,790,2348338,45919049
1,795,2348338,45919049
1,796,2348338,45919049
1,797,2348338,45919049
1,798,2348338,45919049
1,800,2348338,45919049
1,802,2348338,45919049
1,805,2348338,45919049
1,808,2348338,45919049
1,809,2348338,45919049
1,810,2348338,45919049
1,812,2348338,45919049
1,813,2348338,45919049
1,814,2348338,45919049
1,815,2348338,45919049
1,816,2348338,45919049
1,817,2348338,45919049
1,818,2348338,45919049
1,819,2348338,45919049
1,820,2348338,45919049
1,821,2348338,45919049
1,823,2348338,45919049
1,824,2348338,45919049
1,825,2348338,45919049
1,832,2348338,45919049
1,833,2348338,45919049
1,835,2348338,45919049
1,839,2348338,45919049
1,840,2348338,45919049
1,844,2348338,45919049
1,847,2348338,45919049
1,848,2348338,45919049
1,850,2348338,45919049
1,852,2348338,45919049
1,853,2348338,45919049
1,855,2348338,45919049
1,865,2348338,45919049
1,869,2348338,45919049
1,872,2348338,45919049
1,876,2348338,45919049
1,879,2348338,45919049
1,881,2348338,45919049
1,883,2348338,45919049
1,896,2348338,45919049
1,897,2348338,45919049
1,899,2348338,45919049
1,900,2348338,45919049
1,901,2348338,45919049
1,902,2348338,45919049
1,904,2348338,45919049
1,905,2348338,45919049
